,Unnamed: 0,date,index,Unnamed: 0.1,cum_sum_baseline,cum_sum_realized,effective_baseline_power,new_baseline_power,total_mined_reward,effective_network_time
104,104,2020-12-06,495517.49720083975,495517.49720083975,1.9195547848557528e+23,1.919539697344556e+23,3.0154617145404216e+18,3.5168988696959616e+18,1.5555744904467177e+25,65031.60216934919
105,105,2020-12-07,498372.49824684433,498372.49824684433,1.961085409834417e+23,1.9610702724521656e+23,3.018200187344838e+18,3.5235822233428726e+18,1.5763021796028355e+25,66408.23071528751
106,106,2020-12-08,501228.0083945436,501228.0083945436,2.003276855960232e+23,2.003261767244816e+23,3.020982233794991e+18,3.5302822613999263e+18,1.5972017114660477e+25,67805.4861839804
107,107,2020-12-09,504089.4968575419,504089.4968575419,2.04594587635123e+23,2.0459307586232685e+23,3.023795770841252e+18,3.536986870029757e+18,1.618283806465618e+25,69217.24930167598
108,108,2020-12-10,506948.4964961458,506948.4964961458,2.0891731361820528e+23,2.089157717735451e+23,3.026646117435288e+18,3.543715307134898e+18,1.6397561190264042e+25,70646.14365802382
109,109,2020-12-11,509804.49965010496,509804.49965010496,2.132955646642389e+23,2.132940602063765e+23,3.029533076499022e+18,3.5504505481892966e+18,1.6615965516958856e+25,72092.02064380686
110,110,2020-12-12,512665.000349284,512665.000349284,2.1772414110961035e+23,2.177226202775925e+23,3.032453219445139e+18,3.557195314163214e+18,1.683289308162597e+25,73553.11701012924
111,111,2020-12-13,515523.4975473021,515523.4975473021,2.221948530765307e+23,2.2219333946978658e+23,3.0354011459798533e+18,3.563959296217392e+18,1.70510710915385e+25,75026.68780658724
112,112,2020-12-14,518380.0024484085,518380.0024484085,2.267374415464885e+23,2.2673592296013047e+23,3.038396466900987e+18,3.5707375649028547e+18,1.7268722231881149e+25,76522.48408534452
113,113,2020-12-15,521234.4978947368,521234.4978947368,2.3133632434081705e+23,2.313348068847948e+23,3.0414289075323126e+18,3.5775214882297933e+18,1.7488088928007338e+25,78035.31614035087
114,114,2020-12-16,524092.5080251221,524092.5080251221,2.3597904445412484e+23,2.359775163395712e+23,3.044490253894266e+18,3.5843215990209864e+18,1.7707954671395692e+25,79561.04012561061
115,115,2020-12-17,526957.4965083799,526957.4965083799,2.4068252068125923e+23,2.4068099631660643e+23,3.0475916620095647e+18,3.591140880071393e+18,1.7927807154905696e+25,81105.1658519553
116,116,2020-12-18,529820.9979042961,529820.9979042961,2.454322406451424e+23,2.454307092197829e+23,3.0507235626145684e+18,3.5979626057219154e+18,1.814729695952012e+25,82662.87949703108
117,117,2020-12-19,532354.702494331,532354.702494331,2.4971462945097435e+23,2.49713106618448e+23,3.0535473114237256e+18,3.604062511312828e+18,1.8346209779566816e+25,84065.98004535148
118,118,2020-12-20,534880.225659051,534880.225659051,2.5427236495344373e+23,2.542708493985669e+23,3.056552620091642e+18,3.6116678599159055e+18,1.8515315880954885e+25,85557.85975395431
119,119,2020-12-21,537728.0084180989,537728.0084180989,2.585513354030783e+23,2.585497985774784e+23,3.059374114883315e+18,3.618513197750939e+18,1.8721733837938032e+25,86957.11153981059
120,120,2020-12-22,540580.5010511563,540580.5010511563,2.635142008391413e+23,2.6351266573452343e+23,3.062646560707479e+18,3.625401649616827e+18,1.894607583312616e+25,88578.4253679047
121,121,2020-12-23,543436.0010500525,543436.0010500525,2.6852985375085832e+23,2.6852831753404346e+23,3.065953813873591e+18,3.632289316875836e+18,1.9174000714006563e+25,90215.22541127056
122,122,2020-12-24,546292.49964986,546292.49964986,2.7359883922181163e+23,2.735973043737964e+23,3.0692962338023337e+18,3.639190360969671e+18,1.9403437666995785e+25,91867.63725490196
123,123,2020-12-25,549155.0045311955,549155.0045311955,2.7870551042942047e+23,2.787039724040239e+23,3.0726635031921674e+18,3.646108411043212e+18,1.963408397391773e+25,93530.5165562914
124,124,2020-12-26,552016.4947442187,552016.4947442187,2.838667096647328e+23,2.8386517980419296e+23,3.076066727620246e+18,3.65304480228844e+18,1.9867742893946976e+25,95209.29922915206
125,125,2020-12-27,554874.002446697,554874.002446697,2.890950529971501e+23,2.890935093177459e+23,3.0795142259507743e+18,3.659984766996908e+18,2.01020746182252e+25,96908.03005941978
126,126,2020-12-28,483810.3399859944,483810.3399859944,2.9438081220868112e+23,2.943792774829081e+23,3.0829995835294065e+18,3.666942973860244e+18,2.033517257426135e+25,98623.48389355742
127,127,2020-12-29,559908.3685314686,559908.3685314686,2.997156982256652e+23,2.9971415047007444e+23,3.08651733465395e+18,3.6739121821178685e+18,2.056968988336653e+25,100352.91573426573
128,128,2020-12-30,562896.5,562896.5,3.0509870214334626e+23,3.050971559873808e+23,3.090066814066362e+18,3.680894484534409e+18,2.0809373103704683e+25,102095.9506993007
129,129,2020-12-31,565755.99859993,565755.99859993,3.1053445503441965e+23,3.105329138995292e+23,3.093651075432853e+18,3.687889763516816e+18,2.104734562195792e+25,103854.03360168009
130,130,2021-01-01,568616.5024441341,568616.5024441341,3.160360791712051e+23,3.160345335146128e+23,3.0972787714009364e+18,3.694896429891636e+18,2.128518951161731e+25,105631.3495111732
